OID_,OBJECTID,RIBI_ID,ACFL,AMBI,ABDU,AMCR,AMGO,AGWT,AMKE,AMOY,AMRE,AMRO,AMWO,BANS,BARS,BAOW,BEKI,BLBW,BAWW,BBCU,BCCH,BCNH,BTNW,BLJA,BGGN,BWTE,BWWA,BOBO,BWHA,BRCR,BRTH,BHCO,CAGO,CAWA,CARW,CAEG,CEDW,CERW,CSWA,CHSW,CHSP,CLRA,CLSW,COBO,COGR,COMO,CONI,COTE,COYE,COHA,DCCO,DOWO,EABL,EAKI,EAME,EAPH,EASO,ETTI,EAWP,EUST,FISP,FICR,GADW,GLIB,GCKI,GRSP,GRCA,GBBG,GTBH,GREG,GHOW,GCFL,GNBH,HAWO,HETH,HERG,HOME,HOWA,HOLA,HOFI,HOSP,HOWR,INBU,KILL_,KIRA,LEBI,LEFL,LETE,LBHE,LEOW,LOWA,MAWA,MALL,MAWR,MOPA,MODO,MUSW,MYWA,NAWA,NOBO,NOCA,NOGO,NOHA,NOMO,NOOR,NOPA,NSWO,NOWA,OROR,OSPR,OVEN,PIWO,PIWA,PIPL,PRAW,PUFI,PUMA,RBWO,RBNU,REVI,RSHA,RTHA,RWBL,RNPH,RODO,ROST,RBGR,NRWS,RTHU,RUGR,RSTO,SAVS,SCTA,SESP,SSHA,STSP,SNEG,SOVI,SOSP,SORA,SPSA,SWSP,TRES,TUVU,UDEJ,UPSA,VEER,VESP,VIRA,WAVI,WPWI,WBNU,WEVI,WTSP,WITU,WILL,WIFL,WIWR,WODU,WOTH,WEWA,YWAR,YBCU,YBCH,YRWA,YSFL,YTVI,YCNH,BTBW,PROW,PBGR,TTLC,TTLR,TTLP,TOTSPP
124,125,128,X,X,C,C,C,X,R,C,C,C,X,P,C,X,C,X,X,P,C,X,X,C,X,X,R,R,X,X,C,C,C,X,C,X,R,X,X,R,X,X,X,X,C,X,X,C,C,X,X,C,X,C,X,X,X,P,X,C,X,X,X,X,X,X,C,C,X,X,C,R,R,X,X,C,X,X,X,C,C,C,X,R,X,C,X,X,X,X,X,X,C,R,X,C,C,X,X,X,C,X,X,R,P,X,X,X,X,X,X,X,X,X,R,P,X,X,X,P,X,X,C,P,C,X,P,C,P,X,C,X,X,P,X,C,X,X,C,X,X,X,P,X,X,X,P,X,X,X,X,X,C,X,X,X,R,X,X,P,X,C,X,X,X,C,X,X,X,X,X,41,12,13,66
125,126,127,X,X,P,X,R,X,C,X,C,C,C,X,C,X,X,X,R,P,C,X,X,C,P,X,P,C,X,X,C,R,C,X,C,X,C,X,P,X,R,X,X,X,C,X,X,X,C,X,X,P,X,R,X,X,X,P,X,C,C,X,X,X,X,X,C,X,X,X,X,R,R,X,X,X,X,X,X,C,C,C,X,R,X,X,X,X,X,X,X,X,C,X,X,C,X,X,X,X,R,X,X,C,C,X,X,X,X,X,X,X,X,X,R,C,X,X,X,P,X,X,C,X,R,X,X,X,P,X,R,X,X,X,X,C,X,X,C,X,X,X,C,X,X,X,X,X,X,X,X,R,R,X,X,X,P,X,X,P,X,C,X,X,X,C,X,X,X,X,X,31,14,11,56
126,127,126,X,X,X,P,P,X,P,X,R,C,X,R,C,X,X,X,P,P,R,X,X,C,P,X,R,X,X,X,P,R,X,X,R,X,X,X,P,R,R,X,X,X,C,X,X,X,R,X,X,C,X,P,R,R,X,C,P,C,P,X,X,X,X,X,C,X,X,X,X,R,P,X,X,X,X,X,X,R,C,C,X,X,X,X,X,X,X,X,X,X,C,X,X,C,C,X,X,R,R,X,X,P,C,X,X,P,P,X,P,X,X,X,P,X,X,X,X,R,X,X,C,X,X,X,R,R,X,X,R,X,R,X,X,X,X,X,C,X,X,R,P,X,X,X,R,X,P,X,X,P,R,X,X,X,P,X,X,R,X,R,X,X,X,R,X,X,X,X,X,16,26,21,63
127,128,125,X,X,X,C,R,X,R,X,R,C,X,C,C,X,X,X,R,C,C,X,X,C,X,X,R,X,P,X,C,C,X,R,C,X,R,X,C,C,C,X,X,X,C,X,X,X,C,X,X,C,C,C,X,C,X,C,C,C,P,X,X,X,X,X,C,X,X,X,X,R,P,C,X,X,X,R,X,C,C,C,P,C,X,X,P,X,X,X,X,X,X,X,X,C,X,X,C,C,C,X,X,R,C,X,X,R,P,X,R,X,P,X,P,X,X,X,X,R,X,X,C,X,R,X,P,R,P,C,R,X,R,X,X,X,X,X,C,X,X,R,C,X,X,X,R,X,X,X,P,R,R,X,X,X,X,X,X,C,X,R,P,X,X,C,X,X,X,X,X,39,22,12,73
128,129,124,X,X,X,C,P,X,P,X,P,C,X,C,C,P,X,X,R,P,C,X,X,R,P,X,R,X,X,X,P,R,C,R,P,X,C,X,R,R,R,X,X,X,C,X,X,X,R,X,X,C,C,C,X,C,X,R,P,C,R,X,X,X,X,X,C,X,X,X,P,P,R,C,P,X,X,X,X,C,R,C,X,X,X,X,X,X,X,X,X,X,R,X,X,R,X,X,P,P,C,X,X,R,P,X,X,R,X,C,R,X,R,X,P,R,C,X,X,R,X,X,C,X,P,X,P,P,P,C,C,X,P,X,X,X,X,X,R,X,X,R,C,X,X,P,R,P,X,X,P,C,P,X,C,X,X,X,C,P,X,C,X,X,X,C,X,X,X,X,X,29,24,26,79
129,130,123,X,X,X,C,R,X,X,X,P,C,X,C,C,R,C,X,C,C,C,X,C,C,R,X,C,X,R,P,C,C,X,P,P,X,R,X,P,C,C,X,X,X,C,X,X,X,C,C,X,C,C,R,R,P,X,C,R,C,C,X,X,X,X,X,C,X,X,X,P,C,P,C,C,X,X,X,X,R,C,C,P,C,X,X,X,X,X,X,X,X,R,X,X,C,X,X,X,R,R,P,X,C,C,X,X,P,C,X,C,X,C,X,C,R,C,X,C,C,X,R,C,X,R,X,P,C,X,R,R,X,R,X,P,X,X,X,R,X,R,X,C,X,X,X,R,X,X,X,P,C,X,X,X,X,X,X,C,R,X,C,R,X,X,C,P,X,X,X,X,47,23,15,85
130,131,122,X,X,X,C,C,X,X,X,C,C,C,C,C,R,P,X,R,P,C,X,R,C,R,X,R,X,C,R,P,C,C,R,C,X,C,X,P,P,C,X,C,X,C,X,X,X,C,X,X,R,C,C,X,C,P,C,R,C,R,X,X,X,X,X,C,X,X,X,R,C,P,R,R,X,X,X,X,R,C,C,X,R,X,X,X,X,X,X,P,X,C,X,X,C,X,X,C,R,C,X,X,R,C,X,X,R,X,X,R,X,C,X,R,R,X,X,C,R,P,C,C,X,R,X,P,C,R,R,C,X,R,X,X,X,X,P,C,X,X,C,C,X,X,X,C,X,C,X,R,R,P,X,C,X,X,X,C,C,R,C,P,X,C,C,P,X,X,X,X,49,29,14,92
131,132,141,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,C,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,C,X,X,X,X,C,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6,2,1,9
132,133,140,X,X,P,C,R,X,X,X,C,C,X,X,C,X,X,X,X,X,C,X,X,R,X,X,X,X,X,X,X,C,X,X,R,X,R,X,X,P,X,X,X,X,C,X,X,X,C,X,X,P,X,P,X,X,X,X,X,C,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,R,C,R,X,X,X,X,X,X,X,X,X,X,R,R,X,R,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,C,R,P,X,X,C,P,X,X,X,X,X,X,X,X,X,C,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,X,C,X,X,X,R,X,X,X,X,X,16,13,7,36
133,134,139,X,X,P,C,R,X,P,X,C,C,X,X,C,X,X,X,X,X,R,X,X,R,X,X,X,X,X,X,R,R,C,X,R,X,R,X,X,R,X,X,X,X,C,X,X,C,C,X,X,C,X,P,X,X,X,X,X,C,X,X,X,X,X,X,C,C,X,X,X,X,C,X,X,C,X,X,X,C,X,R,X,P,X,X,X,X,X,X,X,X,C,R,X,R,R,X,X,X,R,X,X,P,C,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,C,R,C,C,X,C,P,X,R,X,X,X,X,X,X,X,R,X,X,P,P,X,X,X,X,X,R,X,X,X,C,X,X,X,R,X,X,X,X,C,X,X,X,C,X,X,X,X,X,24,18,10,52
