gbifID,species,infraspecificEpithet,scientificName,decimalLatitude,decimalLongitude,
2851273130,Panthera tigris,tigris,Panthera tigris tigris,20.858925,79.440882,
2851260770,Panthera tigris,tigris,Panthera tigris tigris,23.746331,80.962021,
2851255128,Panthera tigris,tigris,Panthera tigris tigris,20.289454,79.398738,
2851232402,Panthera tigris,tigris,Panthera tigris tigris,26.16551,76.461089,
2851224666,Panthera tigris,tigris,Panthera tigris tigris,29.438787,78.724089,
2851202403,Panthera tigris,tigris,Panthera tigris tigris,26.026735,76.570996,
2851200829,Panthera tigris,tigris,Panthera tigris tigris,26.044391,76.414751,
2851197196,Panthera tigris,tigris,Panthera tigris tigris,20.379639,79.38837,
2851196189,Panthera tigris,tigris,Panthera tigris tigris,20.211601,79.267941,
2851189438,Panthera tigris,tigris,Panthera tigris tigris,26.180931,76.403823,
2851182131,Panthera tigris,tigris,Panthera tigris tigris,20.36124,79.351624,
2851180819,Panthera tigris,tigris,Panthera tigris tigris,23.716134,81.037218,
2851173389,Panthera tigris,tigris,Panthera tigris tigris,26.155074,76.481852,
2851164487,Panthera tigris,tigris,Panthera tigris tigris,26.022361,76.552555,
2851164486,Panthera tigris,tigris,Panthera tigris tigris,26.076558,76.47712,
2851161394,Panthera tigris,tigris,Panthera tigris tigris,26.108515,76.432536,
2851152459,Panthera tigris,tigris,Panthera tigris tigris,22.268311,80.615578,
2851139349,Panthera tigris,tigris,Panthera tigris tigris,26.166355,76.557486,
2851136712,Panthera tigris,tigris,Panthera tigris tigris,20.365659,79.345622,
2851128832,Panthera tigris,tigris,Panthera tigris tigris,22.218377,80.692863,
2851125924,Panthera tigris,tigris,Panthera tigris tigris,21.694299,79.365296,
2851121873,Panthera tigris,tigris,Panthera tigris tigris,21.723104,79.274657,
2851114677,Panthera tigris,tigris,Panthera tigris tigris,23.640664,81.007217,
2851112814,Panthera tigris,tigris,Panthera tigris tigris,26.163871,76.539779,
2851110969,Panthera tigris,tigris,Panthera tigris tigris,29.486663,78.696683,
2851110967,Panthera tigris,tigris,Panthera tigris tigris,20.324763,79.294988,
2851102341,Panthera tigris,tigris,Panthera tigris tigris,26.168424,76.559597,
2851089781,Panthera tigris,tigris,Panthera tigris tigris,23.645994,81.089754,
2851079441,Panthera tigris,tigris,Panthera tigris tigris,26.135727,76.510432,
2851070707,Panthera tigris,tigris,Panthera tigris tigris,23.684906,80.872444,
